file_id,split,image_path,box_path,entities_path,decision,label,label_source,pseudo_risk_score,pseudo_rule_version,total_amount,ocr_box_count,text_length,missing_fields,noise_applied,recommended_iterations,recommended_epochs
X00016469620,train,train/img/X00016469620.jpg,train/box/X00016469620.txt,train/entities/X00016469620.txt,approved,1,synthetic_random,0.1096,v1_random,33.90,54,723,,true,100,1
X00016469622,train,train/img/X00016469622.jpg,train/box/X00016469622.txt,train/entities/X00016469622.txt,approved,1,synthetic_random,0.0329,v1_random,80.90,60,584,,true,100,1
X00016469676,train,train/img/X00016469676.jpg,train/box/X00016469676.txt,train/entities/X00016469676.txt,approved,1,synthetic_random,0.0000,v1_random,20.00,28,441,,false,100,1
X51005255805,train,train/img/X51005255805.jpg,train/box/X51005255805.txt,train/entities/X51005255805.txt,approved,1,synthetic_random,0.0000,v1_random,14.10,51,577,,false,100,1
X51005268200,train,train/img/X51005268200.jpg,train/box/X51005268200.txt,train/entities/X51005268200.txt,rejected,0,synthetic_random,0.0329,v1_random,15.00,58,780,,false,100,1
X51005268262,train,train/img/X51005268262.jpg,train/box/X51005268262.txt,train/entities/X51005268262.txt,rejected,0,synthetic_random,0.0000,v1_random,15.90,47,584,,true,100,1
X51005301667,train,train/img/X51005301667.jpg,train/box/X51005301667.txt,train/entities/X51005301667.txt,approved,1,synthetic_random,0.0000,v1_random,39.80,76,921,,false,100,1
X51005337872,train,train/img/X51005337872.jpg,train/box/X51005337872.txt,train/entities/X51005337872.txt,approved,1,synthetic_random,0.0000,v1_random,54.50,59,608,,false,100,1
X51005361895,train,train/img/X51005361895.jpg,train/box/X51005361895.txt,train/entities/X51005361895.txt,rejected,0,synthetic_random,0.0000,v1_random,9.00,41,527,,true,100,1
X51005361900,train,train/img/X51005361900.jpg,train/box/X51005361900.txt,train/entities/X51005361900.txt,approved,1,synthetic_random,0.0334,v1_random,18.00,71,740,,true,100,1
X51005365179,train,train/img/X51005365179.jpg,train/box/X51005365179.txt,train/entities/X51005365179.txt,approved,1,synthetic_random,0.0199,v1_random,21.20,53,615,,false,100,1
X51005433494,train,train/img/X51005433494.jpg,train/box/X51005433494.txt,train/entities/X51005433494.txt,rejected,0,synthetic_random,0.0013,v1_random,75.00,39,597,,true,100,1
X51005433552,train,train/img/X51005433552.jpg,train/box/X51005433552.txt,train/entities/X51005433552.txt,approved,1,synthetic_random,0.0217,v1_random,57.80,48,557,,false,100,1
X51005433553,train,train/img/X51005433553.jpg,train/box/X51005433553.txt,train/entities/X51005433553.txt,approved,1,synthetic_random,0.0000,v1_random,13.10,69,609,,false,100,1
X51005442344,train,train/img/X51005442344.jpg,train/box/X51005442344.txt,train/entities/X51005442344.txt,approved,1,synthetic_random,0.0000,v1_random,100.90,71,736,,false,100,1
X51005442376,train,train/img/X51005442376.jpg,train/box/X51005442376.txt,train/entities/X51005442376.txt,approved,1,synthetic_random,0.1280,v1_random,7.60,39,583,,true,100,1
X51005442378,train,train/img/X51005442378.jpg,train/box/X51005442378.txt,train/entities/X51005442378.txt,rejected,0,synthetic_random,0.0000,v1_random,10.00,34,558,,true,100,1
X51005444037,train,train/img/X51005444037.jpg,train/box/X51005444037.txt,train/entities/X51005444037.txt,approved,1,synthetic_random,0.1122,v1_random,129.30,66,833,,true,100,1
X51005447850,train,train/img/X51005447850.jpg,train/box/X51005447850.txt,train/entities/X51005447850.txt,rejected,0,synthetic_random,0.0918,v1_random,3.20,43,548,,false,100,1
X51005453801,train,train/img/X51005453801.jpg,train/box/X51005453801.txt,train/entities/X51005453801.txt,approved,1,synthetic_random,0.0000,v1_random,102.00,45,502,,false,100,1
X51005453804,train,train/img/X51005453804.jpg,train/box/X51005453804.txt,train/entities/X51005453804.txt,approved,1,synthetic_random,0.0348,v1_random,12.00,43,532,,true,100,1
X51005568913,train,train/img/X51005568913.jpg,train/box/X51005568913.txt,train/entities/X51005568913.txt,approved,1,synthetic_random,0.1924,v1_random,538.00,38,488,,true,100,1
X51005577192,train,train/img/X51005577192.jpg,train/box/X51005577192.txt,train/entities/X51005577192.txt,rejected,0,synthetic_random,0.0053,v1_random,7.00,53,560,,true,100,1
X51005605284,train,train/img/X51005605284.jpg,train/box/X51005605284.txt,train/entities/X51005605284.txt,approved,1,synthetic_random,0.0000,v1_random,83.00,62,659,,false,100,1
X51005605285,train,train/img/X51005605285.jpg,train/box/X51005605285.txt,train/entities/X51005605285.txt,approved,1,synthetic_random,0.0000,v1_random,5.90,40,605,,false,100,1
X51005605333,train,train/img/X51005605333.jpg,train/box/X51005605333.txt,train/entities/X51005605333.txt,approved,1,synthetic_random,0.0278,v1_random,31.45,45,645,,true,100,1
X51005605334,train,train/img/X51005605334.jpg,train/box/X51005605334.txt,train/entities/X51005605334.txt,rejected,0,synthetic_random,0.0000,v1_random,9.65,42,610,,true,100,1
