file_id,split,image_path,box_path,entities_path,decision,label,label_source,pseudo_risk_score,pseudo_rule_version,total_amount,ocr_box_count,text_length,missing_fields,noise_applied,recommended_iterations,recommended_epochs
X00016469620,train,train/img/X00016469620.jpg,train/box/X00016469620.txt,train/entities/X00016469620.txt,rejected,0,pseudo_rule_clean,0.1096,v2_weak_rules,33.90,54,723,,false,150,1
X00016469669,train,train/img/X00016469669.jpg,train/box/X00016469669.txt,train/entities/X00016469669.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,31.00,35,374,,false,150,1
X00016469672,train,train/img/X00016469672.jpg,train/box/X00016469672.txt,train/entities/X00016469672.txt,rejected,0,pseudo_rule_clean,0.2246,v2_weak_rules,327.00,93,916,,false,150,1
X51005230617,train,train/img/X51005230617.jpg,train/box/X51005230617.txt,train/entities/X51005230617.txt,rejected,0,pseudo_rule_noisy,0.0000,v2_weak_rules,26.60,43,784,,true,150,1
X51005255805,train,train/img/X51005255805.jpg,train/box/X51005255805.txt,train/entities/X51005255805.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,14.10,51,577,,false,150,1
X51005268262,train,train/img/X51005268262.jpg,train/box/X51005268262.txt,train/entities/X51005268262.txt,rejected,0,pseudo_rule_noisy,0.0000,v2_weak_rules,15.90,47,584,,true,150,1
X51005361883,train,train/img/X51005361883.jpg,train/box/X51005361883.txt,train/entities/X51005361883.txt,approved,1,pseudo_rule_clean,0.0071,v2_weak_rules,4.90,68,691,,false,150,1
X51005365179,train,train/img/X51005365179.jpg,train/box/X51005365179.txt,train/entities/X51005365179.txt,approved,1,pseudo_rule_clean,0.0199,v2_weak_rules,21.20,53,615,,false,150,1
X51005433514,train,train/img/X51005433514.jpg,train/box/X51005433514.txt,train/entities/X51005433514.txt,approved,1,pseudo_rule_noisy,0.1329,v2_weak_rules,8.20,39,580,,true,150,1
X51005433533,train,train/img/X51005433533.jpg,train/box/X51005433533.txt,train/entities/X51005433533.txt,approved,1,pseudo_rule_noisy,0.2151,v2_weak_rules,332.30,107,1214,,true,150,1
X51005433538,train,train/img/X51005433538.jpg,train/box/X51005433538.txt,train/entities/X51005433538.txt,rejected,0,pseudo_rule_clean,0.1027,v2_weak_rules,8.20,39,580,,false,150,1
X51005433553,train,train/img/X51005433553.jpg,train/box/X51005433553.txt,train/entities/X51005433553.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,13.10,69,609,,false,150,1
X51005441401,train,train/img/X51005441401.jpg,train/box/X51005441401.txt,train/entities/X51005441401.txt,approved,1,pseudo_rule_noisy,0.1953,v2_weak_rules,343.95,44,443,,true,150,1
X51005442333,train,train/img/X51005442333.jpg,train/box/X51005442333.txt,train/entities/X51005442333.txt,approved,1,pseudo_rule_noisy,0.0886,v2_weak_rules,6.90,43,605,,true,150,1
X51005442341,train,train/img/X51005442341.jpg,train/box/X51005442341.txt,train/entities/X51005442341.txt,approved,1,pseudo_rule_noisy,0.1322,v2_weak_rules,170.00,18,187,,true,150,1
X51005442346,train,train/img/X51005442346.jpg,train/box/X51005442346.txt,train/entities/X51005442346.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,8.00,59,609,,false,150,1
X51005442361,train,train/img/X51005442361.jpg,train/box/X51005442361.txt,train/entities/X51005442361.txt,rejected,0,pseudo_rule_clean,0.1978,v2_weak_rules,593.10,66,674,,false,150,1
X51005442378,train,train/img/X51005442378.jpg,train/box/X51005442378.txt,train/entities/X51005442378.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,10.00,34,558,,false,150,1
X51005442386,train,train/img/X51005442386.jpg,train/box/X51005442386.txt,train/entities/X51005442386.txt,rejected,0,pseudo_rule_clean,0.0881,v2_weak_rules,8.70,39,587,,false,150,1
X51005442394,train,train/img/X51005442394.jpg,train/box/X51005442394.txt,train/entities/X51005442394.txt,rejected,0,pseudo_rule_clean,0.1028,v2_weak_rules,8.20,39,581,,false,150,1
X51005442397,train,train/img/X51005442397.jpg,train/box/X51005442397.txt,train/entities/X51005442397.txt,rejected,0,pseudo_rule_clean,0.0288,v2_weak_rules,7.60,28,357,,false,150,1
X51005444033,train,train/img/X51005444033.jpg,train/box/X51005444033.txt,train/entities/X51005444033.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,77.20,52,718,,false,150,1
X51005444037,train,train/img/X51005444037.jpg,train/box/X51005444037.txt,train/entities/X51005444037.txt,rejected,0,pseudo_rule_clean,0.1122,v2_weak_rules,129.30,66,833,,false,150,1
X51005447832,train,train/img/X51005447832.jpg,train/box/X51005447832.txt,train/entities/X51005447832.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,85.54,48,523,,false,150,1
X51005447833,train,train/img/X51005447833.jpg,train/box/X51005447833.txt,train/entities/X51005447833.txt,approved,1,pseudo_rule_clean,0.0006,v2_weak_rules,88.17,46,502,,false,150,1
X51005447840,train,train/img/X51005447840.jpg,train/box/X51005447840.txt,train/entities/X51005447840.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,8.20,63,688,,false,150,1
X51005447848,train,train/img/X51005447848.jpg,train/box/X51005447848.txt,train/entities/X51005447848.txt,approved,1,pseudo_rule_clean,0.0000,v2_weak_rules,53.55,75,630,,false,150,1
X51005447852,train,train/img/X51005447852.jpg,train/box/X51005447852.txt,train/entities/X51005447852.txt,rejected,0,pseudo_rule_noisy,0.0000,v2_weak_rules,9.90,26,412,,true,150,1
X51005447861,train,train/img/X51005447861.jpg,train/box/X51005447861.txt,train/entities/X51005447861.txt,approved,1,pseudo_rule_clean,0.0240,v2_weak_rules,49.40,57,817,,false,150,1
X51005453729,train,train/img/X51005453729.jpg,train/box/X51005453729.txt,train/entities/X51005453729.txt,approved,1,pseudo_rule_clean,0.0010,v2_weak_rules,79.50,48,580,,false,150,1
X51005453802,train,train/img/X51005453802.jpg,train/box/X51005453802.txt,train/entities/X51005453802.txt,approved,1,pseudo_rule_noisy,0.1199,v2_weak_rules,159.00,48,594,,true,150,1
X51005568891,train,train/img/X51005568891.jpg,train/box/X51005568891.txt,train/entities/X51005568891.txt,approved,1,pseudo_rule_noisy,0.1175,v2_weak_rules,277.00,82,924,,true,150,1
X51005568898,train,train/img/X51005568898.jpg,train/box/X51005568898.txt,train/entities/X51005568898.txt,approved,1,pseudo_rule_clean,0.0236,v2_weak_rules,18.80,74,930,,false,150,1
