file_id,split,image_path,box_path,entities_path,decision,label,label_source,pseudo_risk_score,pseudo_rule_version,total_amount,ocr_box_count,text_length,missing_fields,noise_applied,recommended_iterations,recommended_epochs
X00016469612,train,train/img/X00016469612.jpg,train/box/X00016469612.txt,train/entities/X00016469612.txt,approved,1,pseudo_rule_clean,0.0109,v3_medium_rules,9.00,44,485,,false,200,1
X00016469619,train,train/img/X00016469619.jpg,train/box/X00016469619.txt,train/entities/X00016469619.txt,approved,1,pseudo_rule_clean,0.0111,v3_medium_rules,60.30,48,684,,false,200,1
X00016469620,train,train/img/X00016469620.jpg,train/box/X00016469620.txt,train/entities/X00016469620.txt,approved,1,pseudo_rule_noisy,0.1096,v3_medium_rules,33.90,54,723,,true,200,1
X00016469622,train,train/img/X00016469622.jpg,train/box/X00016469622.txt,train/entities/X00016469622.txt,approved,1,pseudo_rule_noisy,0.0329,v3_medium_rules,80.90,60,584,,true,200,1
X00016469669,train,train/img/X00016469669.jpg,train/box/X00016469669.txt,train/entities/X00016469669.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,31.00,35,374,,false,200,1
X51005200938,train,train/img/X51005200938.jpg,train/box/X51005200938.txt,train/entities/X51005200938.txt,approved,1,pseudo_rule_clean,0.0156,v3_medium_rules,112.45,76,891,,false,200,1
X51005255805,train,train/img/X51005255805.jpg,train/box/X51005255805.txt,train/entities/X51005255805.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,14.10,51,577,,false,200,1
X51005268200,train,train/img/X51005268200.jpg,train/box/X51005268200.txt,train/entities/X51005268200.txt,rejected,0,pseudo_rule_clean,0.0329,v3_medium_rules,15.00,58,780,,false,200,1
X51005268262,train,train/img/X51005268262.jpg,train/box/X51005268262.txt,train/entities/X51005268262.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,15.90,47,584,,false,200,1
X51005301659,train,train/img/X51005301659.jpg,train/box/X51005301659.txt,train/entities/X51005301659.txt,approved,1,pseudo_rule_clean,0.0237,v3_medium_rules,15.90,44,503,,false,200,1
X51005301667,train,train/img/X51005301667.jpg,train/box/X51005301667.txt,train/entities/X51005301667.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,39.80,76,921,,false,200,1
X51005303661,train,train/img/X51005303661.jpg,train/box/X51005303661.txt,train/entities/X51005303661.txt,approved,1,pseudo_rule_clean,0.0015,v3_medium_rules,73.00,75,911,,false,200,1
X51005306399,train,train/img/X51005306399.jpg,train/box/X51005306399.txt,train/entities/X51005306399.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,86.00,46,515,,false,200,1
X51005361895,train,train/img/X51005361895.jpg,train/box/X51005361895.txt,train/entities/X51005361895.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,9.00,41,527,,false,200,1
X51005361898,train,train/img/X51005361898.jpg,train/box/X51005361898.txt,train/entities/X51005361898.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,55.10,66,713,,false,200,1
X51005361900,train,train/img/X51005361900.jpg,train/box/X51005361900.txt,train/entities/X51005361900.txt,rejected,0,pseudo_rule_clean,0.0334,v3_medium_rules,18.00,71,740,,false,200,1
X51005433514,train,train/img/X51005433514.jpg,train/box/X51005433514.txt,train/entities/X51005433514.txt,rejected,0,pseudo_rule_clean,0.1329,v3_medium_rules,8.20,39,580,,false,200,1
X51005433533,train,train/img/X51005433533.jpg,train/box/X51005433533.txt,train/entities/X51005433533.txt,rejected,0,pseudo_rule_clean,0.2151,v3_medium_rules,332.30,107,1214,,false,200,1
X51005433538,train,train/img/X51005433538.jpg,train/box/X51005433538.txt,train/entities/X51005433538.txt,rejected,0,pseudo_rule_clean,0.1027,v3_medium_rules,8.20,39,580,,false,200,1
X51005433541,train,train/img/X51005433541.jpg,train/box/X51005433541.txt,train/entities/X51005433541.txt,rejected,0,pseudo_rule_clean,0.0760,v3_medium_rules,8.20,39,564,,false,200,1
X51005433553,train,train/img/X51005433553.jpg,train/box/X51005433553.txt,train/entities/X51005433553.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,13.10,69,609,,false,200,1
X51005441398,train,train/img/X51005441398.jpg,train/box/X51005441398.txt,train/entities/X51005441398.txt,rejected,0,pseudo_rule_clean,0.2445,v3_medium_rules,189.75,53,691,,false,200,1
X51005441401,train,train/img/X51005441401.jpg,train/box/X51005441401.txt,train/entities/X51005441401.txt,rejected,0,pseudo_rule_clean,0.1953,v3_medium_rules,343.95,44,443,,false,200,1
X51005441402,train,train/img/X51005441402.jpg,train/box/X51005441402.txt,train/entities/X51005441402.txt,rejected,0,pseudo_rule_clean,0.1176,v3_medium_rules,174.90,41,447,,false,200,1
X51005441407,train,train/img/X51005441407.jpg,train/box/X51005441407.txt,train/entities/X51005441407.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,64.15,53,642,,false,200,1
X51005441408,train,train/img/X51005441408.jpg,train/box/X51005441408.txt,train/entities/X51005441408.txt,rejected,0,pseudo_rule_clean,0.1487,v3_medium_rules,190.00,43,503,,false,200,1
X51005442327,train,train/img/X51005442327.jpg,train/box/X51005442327.txt,train/entities/X51005442327.txt,rejected,0,pseudo_rule_clean,0.1385,v3_medium_rules,8.60,43,615,,false,200,1
X51005442344,train,train/img/X51005442344.jpg,train/box/X51005442344.txt,train/entities/X51005442344.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,100.90,71,736,,false,200,1
X51005442346,train,train/img/X51005442346.jpg,train/box/X51005442346.txt,train/entities/X51005442346.txt,rejected,0,pseudo_rule_noisy,0.0000,v3_medium_rules,8.00,59,609,,true,200,1
X51005442376,train,train/img/X51005442376.jpg,train/box/X51005442376.txt,train/entities/X51005442376.txt,rejected,0,pseudo_rule_clean,0.1280,v3_medium_rules,7.60,39,583,,false,200,1
X51005442378,train,train/img/X51005442378.jpg,train/box/X51005442378.txt,train/entities/X51005442378.txt,approved,1,pseudo_rule_clean,0.0000,v3_medium_rules,10.00,34,558,,false,200,1
X51005442379,train,train/img/X51005442379.jpg,train/box/X51005442379.txt,train/entities/X51005442379.txt,rejected,0,pseudo_rule_clean,0.0832,v3_medium_rules,9.20,39,583,,false,200,1
X51005442383,train,train/img/X51005442383.jpg,train/box/X51005442383.txt,train/entities/X51005442383.txt,rejected,0,pseudo_rule_clean,0.0278,v3_medium_rules,13.80,55,505,,false,200,1
X51005442384,train,train/img/X51005442384.jpg,train/box/X51005442384.txt,train/entities/X51005442384.txt,rejected,0,pseudo_rule_clean,0.1042,v3_medium_rules,8.20,39,570,,false,200,1
X51005442394,train,train/img/X51005442394.jpg,train/box/X51005442394.txt,train/entities/X51005442394.txt,rejected,0,pseudo_rule_clean,0.1028,v3_medium_rules,8.20,39,581,,false,200,1
X51005442397,train,train/img/X51005442397.jpg,train/box/X51005442397.txt,train/entities/X51005442397.txt,rejected,0,pseudo_rule_clean,0.0288,v3_medium_rules,7.60,28,357,,false,200,1
X51005444033,train,train/img/X51005444033.jpg,train/box/X51005444033.txt,train/entities/X51005444033.txt,rejected,0,pseudo_rule_noisy,0.0000,v3_medium_rules,77.20,52,718,,true,200,1
