file_id,split,image_path,box_path,entities_path,decision,label,label_source,pseudo_risk_score,pseudo_rule_version,total_amount,ocr_box_count,text_length,missing_fields,noise_applied,recommended_iterations,recommended_epochs
X00016469612,train,train/img/X00016469612.jpg,train/box/X00016469612.txt,train/entities/X00016469612.txt,approved,1,pseudo_rule_clean,0.0109,v5_clean_rules,9.00,44,485,,false,350,2
X00016469619,train,train/img/X00016469619.jpg,train/box/X00016469619.txt,train/entities/X00016469619.txt,approved,1,pseudo_rule_clean,0.0111,v5_clean_rules,60.30,48,684,,false,350,2
X00016469620,train,train/img/X00016469620.jpg,train/box/X00016469620.txt,train/entities/X00016469620.txt,rejected,0,pseudo_rule_clean,0.1096,v5_clean_rules,33.90,54,723,,false,350,2
X00016469622,train,train/img/X00016469622.jpg,train/box/X00016469622.txt,train/entities/X00016469622.txt,approved,1,pseudo_rule_noisy,0.0329,v5_clean_rules,80.90,60,584,,true,350,2
X00016469623,train,train/img/X00016469623.jpg,train/box/X00016469623.txt,train/entities/X00016469623.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,30.90,61,797,,false,350,2
X00016469669,train,train/img/X00016469669.jpg,train/box/X00016469669.txt,train/entities/X00016469669.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,31.00,35,374,,false,350,2
X00016469672,train,train/img/X00016469672.jpg,train/box/X00016469672.txt,train/entities/X00016469672.txt,rejected,0,pseudo_rule_clean,0.2246,v5_clean_rules,327.00,93,916,,false,350,2
X00016469676,train,train/img/X00016469676.jpg,train/box/X00016469676.txt,train/entities/X00016469676.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,20.00,28,441,,false,350,2
X51005200938,train,train/img/X51005200938.jpg,train/box/X51005200938.txt,train/entities/X51005200938.txt,approved,1,pseudo_rule_clean,0.0156,v5_clean_rules,112.45,76,891,,false,350,2
X51005230617,train,train/img/X51005230617.jpg,train/box/X51005230617.txt,train/entities/X51005230617.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,26.60,43,784,,false,350,2
X51005255805,train,train/img/X51005255805.jpg,train/box/X51005255805.txt,train/entities/X51005255805.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,14.10,51,577,,false,350,2
X51005268200,train,train/img/X51005268200.jpg,train/box/X51005268200.txt,train/entities/X51005268200.txt,rejected,0,pseudo_rule_clean,0.0329,v5_clean_rules,15.00,58,780,,false,350,2
X51005268262,train,train/img/X51005268262.jpg,train/box/X51005268262.txt,train/entities/X51005268262.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,15.90,47,584,,false,350,2
X51005268400,train,train/img/X51005268400.jpg,train/box/X51005268400.txt,train/entities/X51005268400.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,15.00,60,494,,false,350,2
X51005268472,train,train/img/X51005268472.jpg,train/box/X51005268472.txt,train/entities/X51005268472.txt,approved,1,pseudo_rule_clean,0.0139,v5_clean_rules,32.70,119,1100,,false,350,2
X51005301659,train,train/img/X51005301659.jpg,train/box/X51005301659.txt,train/entities/X51005301659.txt,approved,1,pseudo_rule_clean,0.0237,v5_clean_rules,15.90,44,503,,false,350,2
X51005301661,train,train/img/X51005301661.jpg,train/box/X51005301661.txt,train/entities/X51005301661.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,73.00,82,911,,false,350,2
X51005301667,train,train/img/X51005301667.jpg,train/box/X51005301667.txt,train/entities/X51005301667.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,39.80,76,921,,false,350,2
X51005303661,train,train/img/X51005303661.jpg,train/box/X51005303661.txt,train/entities/X51005303661.txt,approved,1,pseudo_rule_clean,0.0015,v5_clean_rules,73.00,75,911,,false,350,2
X51005306399,train,train/img/X51005306399.jpg,train/box/X51005306399.txt,train/entities/X51005306399.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,86.00,46,515,,false,350,2
X51005337872,train,train/img/X51005337872.jpg,train/box/X51005337872.txt,train/entities/X51005337872.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,54.50,59,608,,false,350,2
X51005361883,train,train/img/X51005361883.jpg,train/box/X51005361883.txt,train/entities/X51005361883.txt,approved,1,pseudo_rule_clean,0.0071,v5_clean_rules,4.90,68,691,,false,350,2
X51005361895,train,train/img/X51005361895.jpg,train/box/X51005361895.txt,train/entities/X51005361895.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,9.00,41,527,,false,350,2
X51005361897,train,train/img/X51005361897.jpg,train/box/X51005361897.txt,train/entities/X51005361897.txt,rejected,0,pseudo_rule_clean,0.0347,v5_clean_rules,27.55,62,665,,false,350,2
X51005361898,train,train/img/X51005361898.jpg,train/box/X51005361898.txt,train/entities/X51005361898.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,55.10,66,713,,false,350,2
X51005361900,train,train/img/X51005361900.jpg,train/box/X51005361900.txt,train/entities/X51005361900.txt,rejected,0,pseudo_rule_clean,0.0334,v5_clean_rules,18.00,71,740,,false,350,2
X51005361907,train,train/img/X51005361907.jpg,train/box/X51005361907.txt,train/entities/X51005361907.txt,rejected,0,pseudo_rule_clean,0.2122,v5_clean_rules,153.35,94,1021,,false,350,2
X51005361946,train,train/img/X51005361946.jpg,train/box/X51005361946.txt,train/entities/X51005361946.txt,approved,1,pseudo_rule_clean,0.0160,v5_clean_rules,37.10,48,680,,false,350,2
X51005361950,train,train/img/X51005361950.jpg,train/box/X51005361950.txt,train/entities/X51005361950.txt,approved,1,pseudo_rule_clean,0.0177,v5_clean_rules,2.50,28,436,,false,350,2
X51005365179,train,train/img/X51005365179.jpg,train/box/X51005365179.txt,train/entities/X51005365179.txt,approved,1,pseudo_rule_clean,0.0199,v5_clean_rules,21.20,53,615,,false,350,2
X51005433492,train,train/img/X51005433492.jpg,train/box/X51005433492.txt,train/entities/X51005433492.txt,rejected,0,pseudo_rule_clean,0.1395,v5_clean_rules,8.20,39,566,,false,350,2
X51005433494,train,train/img/X51005433494.jpg,train/box/X51005433494.txt,train/entities/X51005433494.txt,approved,1,pseudo_rule_clean,0.0013,v5_clean_rules,75.00,39,597,,false,350,2
X51005433514,train,train/img/X51005433514.jpg,train/box/X51005433514.txt,train/entities/X51005433514.txt,rejected,0,pseudo_rule_clean,0.1329,v5_clean_rules,8.20,39,580,,false,350,2
X51005433522,train,train/img/X51005433522.jpg,train/box/X51005433522.txt,train/entities/X51005433522.txt,rejected,0,pseudo_rule_clean,0.4387,v5_clean_rules,,39,580,total,false,350,2
X51005433533,train,train/img/X51005433533.jpg,train/box/X51005433533.txt,train/entities/X51005433533.txt,rejected,0,pseudo_rule_clean,0.2151,v5_clean_rules,332.30,107,1214,,false,350,2
X51005433538,train,train/img/X51005433538.jpg,train/box/X51005433538.txt,train/entities/X51005433538.txt,rejected,0,pseudo_rule_clean,0.1027,v5_clean_rules,8.20,39,580,,false,350,2
X51005433541,train,train/img/X51005433541.jpg,train/box/X51005433541.txt,train/entities/X51005433541.txt,rejected,0,pseudo_rule_clean,0.0760,v5_clean_rules,8.20,39,564,,false,350,2
X51005433552,train,train/img/X51005433552.jpg,train/box/X51005433552.txt,train/entities/X51005433552.txt,approved,1,pseudo_rule_clean,0.0217,v5_clean_rules,57.80,48,557,,false,350,2
X51005433553,train,train/img/X51005433553.jpg,train/box/X51005433553.txt,train/entities/X51005433553.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,13.10,69,609,,false,350,2
X51005441398,train,train/img/X51005441398.jpg,train/box/X51005441398.txt,train/entities/X51005441398.txt,rejected,0,pseudo_rule_clean,0.2445,v5_clean_rules,189.75,53,691,,false,350,2
X51005441401,train,train/img/X51005441401.jpg,train/box/X51005441401.txt,train/entities/X51005441401.txt,rejected,0,pseudo_rule_clean,0.1953,v5_clean_rules,343.95,44,443,,false,350,2
X51005441402,train,train/img/X51005441402.jpg,train/box/X51005441402.txt,train/entities/X51005441402.txt,rejected,0,pseudo_rule_clean,0.1176,v5_clean_rules,174.90,41,447,,false,350,2
X51005441407,train,train/img/X51005441407.jpg,train/box/X51005441407.txt,train/entities/X51005441407.txt,approved,1,pseudo_rule_clean,0.0000,v5_clean_rules,64.15,53,642,,false,350,2
X51005441408,train,train/img/X51005441408.jpg,train/box/X51005441408.txt,train/entities/X51005441408.txt,rejected,0,pseudo_rule_clean,0.1487,v5_clean_rules,190.00,43,503,,false,350,2
X51005442327,train,train/img/X51005442327.jpg,train/box/X51005442327.txt,train/entities/X51005442327.txt,rejected,0,pseudo_rule_clean,0.1385,v5_clean_rules,8.60,43,615,,false,350,2
X51005442333,train,train/img/X51005442333.jpg,train/box/X51005442333.txt,train/entities/X51005442333.txt,rejected,0,pseudo_rule_clean,0.0886,v5_clean_rules,6.90,43,605,,false,350,2
