file_id,split,image_path,box_path,entities_path,decision,label,label_source,pseudo_risk_score,pseudo_rule_version,total_amount,ocr_box_count,text_length,missing_fields,noise_applied,recommended_iterations,recommended_epochs
X00016469612,train,train/img/X00016469612.jpg,train/box/X00016469612.txt,train/entities/X00016469612.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,9.00,44,485,,false,1000,5
X00016469619,train,train/img/X00016469619.jpg,train/box/X00016469619.txt,train/entities/X00016469619.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,60.30,48,684,,false,1000,5
X00016469620,train,train/img/X00016469620.jpg,train/box/X00016469620.txt,train/entities/X00016469620.txt,approved,1,initial_models_weighted_vote,0.4967,v6_initial_plus_real_forged,33.90,54,723,,false,1000,5
X00016469622,train,train/img/X00016469622.jpg,train/box/X00016469622.txt,train/entities/X00016469622.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,80.90,60,584,,false,1000,5
X00016469623,train,train/img/X00016469623.jpg,train/box/X00016469623.txt,train/entities/X00016469623.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,30.90,61,797,,false,1000,5
X00016469669,train,train/img/X00016469669.jpg,train/box/X00016469669.txt,train/entities/X00016469669.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,31.00,35,374,,false,1000,5
X00016469670,test,test/img/X00016469670.jpg,test/box/X00016469670.txt,test/entities/X00016469670.txt,rejected,0,initial_models_weighted_vote,1.0000,v6_initial_plus_real_forged,193.00,47,664,,false,1000,5
X00016469671,test,test/img/X00016469671.jpg,test/box/X00016469671.txt,test/entities/X00016469671.txt,rejected,0,initial_models_weighted_vote,1.0000,v6_initial_plus_real_forged,170.00,41,576,,false,1000,5
X00016469672,train,train/img/X00016469672.jpg,train/box/X00016469672.txt,train/entities/X00016469672.txt,rejected,0,initial_models_weighted_vote,1.0000,v6_initial_plus_real_forged,327.00,93,916,,false,1000,5
X00016469676,train,train/img/X00016469676.jpg,train/box/X00016469676.txt,train/entities/X00016469676.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,20.00,28,441,,false,1000,5
X51005200931,test,test/img/X51005200931.jpg,test/box/X51005200931.txt,test/entities/X51005200931.txt,rejected,0,initial_models_weighted_vote,1.0000,v6_initial_plus_real_forged,436.20,81,901,,false,1000,5
X51005200938,train,train/img/X51005200938.jpg,train/box/X51005200938.txt,train/entities/X51005200938.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,112.45,76,891,,false,1000,5
X51005230605,test,test/img/X51005230605.jpg,test/box/X51005230605.txt,test/entities/X51005230605.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,4.90,44,501,,false,1000,5
X51005230616,test,test/img/X51005230616.jpg,test/box/X51005230616.txt,test/entities/X51005230616.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,38.90,46,810,,false,1000,5
X51005230617,train,train/img/X51005230617.jpg,train/box/X51005230617.txt,train/entities/X51005230617.txt,approved,1,initial_models_weighted_vote,0.3034,v6_initial_plus_real_forged,26.60,43,784,,false,1000,5
X51005230621,test,test/img/X51005230621.jpg,test/box/X51005230621.txt,test/entities/X51005230621.txt,approved,1,initial_models_weighted_vote,0.0000,v6_initial_plus_real_forged,7.30,54,620,,false,1000,5
