file_id,split,image_path,box_path,entities_path,decision,label,label_source,pseudo_risk_score,pseudo_rule_version,total_amount,ocr_box_count,text_length,missing_fields,noise_applied,recommended_iterations,recommended_epochs
X00016469612,train,train/img/X00016469612.jpg,train/box/X00016469612.txt,train/entities/X00016469612.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,9.00,44,485,,false,1200,5
X00016469619,train,train/img/X00016469619.jpg,train/box/X00016469619.txt,train/entities/X00016469619.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,60.30,48,684,,false,1200,5
X00016469620,train,train/img/X00016469620.jpg,train/box/X00016469620.txt,train/entities/X00016469620.txt,approved,1,initial_models_weighted_vote,0.4967,v7_initial_real_forged_fake_pdfs,33.90,54,723,,false,1200,5
X00016469622,train,train/img/X00016469622.jpg,train/box/X00016469622.txt,train/entities/X00016469622.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,80.90,60,584,,false,1200,5
X00016469623,train,train/img/X00016469623.jpg,train/box/X00016469623.txt,train/entities/X00016469623.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,30.90,61,797,,false,1200,5
X00016469669,train,train/img/X00016469669.jpg,train/box/X00016469669.txt,train/entities/X00016469669.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,31.00,35,374,,false,1200,5
X00016469670,test,test/img/X00016469670.jpg,test/box/X00016469670.txt,test/entities/X00016469670.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,193.00,47,664,,false,1200,5
X00016469671,test,test/img/X00016469671.jpg,test/box/X00016469671.txt,test/entities/X00016469671.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,170.00,41,576,,false,1200,5
X00016469672,train,train/img/X00016469672.jpg,train/box/X00016469672.txt,train/entities/X00016469672.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,327.00,93,916,,false,1200,5
X00016469676,train,train/img/X00016469676.jpg,train/box/X00016469676.txt,train/entities/X00016469676.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,20.00,28,441,,false,1200,5
X51005200931,test,test/img/X51005200931.jpg,test/box/X51005200931.txt,test/entities/X51005200931.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,436.20,81,901,,false,1200,5
X51005200938,train,train/img/X51005200938.jpg,train/box/X51005200938.txt,train/entities/X51005200938.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,112.45,76,891,,false,1200,5
X51005230605,test,test/img/X51005230605.jpg,test/box/X51005230605.txt,test/entities/X51005230605.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,4.90,44,501,,false,1200,5
X51005230616,test,test/img/X51005230616.jpg,test/box/X51005230616.txt,test/entities/X51005230616.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,38.90,46,810,,false,1200,5
X51005230617,train,train/img/X51005230617.jpg,train/box/X51005230617.txt,train/entities/X51005230617.txt,approved,1,initial_models_weighted_vote,0.3034,v7_initial_real_forged_fake_pdfs,26.60,43,784,,false,1200,5
X51005230621,test,test/img/X51005230621.jpg,test/box/X51005230621.txt,test/entities/X51005230621.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,7.30,54,620,,false,1200,5
X51005230648,test,test/img/X51005230648.jpg,test/box/X51005230648.txt,test/entities/X51005230648.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,6.35,45,612,,false,1200,5
X51005230657,test,test/img/X51005230657.jpg,test/box/X51005230657.txt,test/entities/X51005230657.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,7.95,57,692,,false,1200,5
X51005230659,test,test/img/X51005230659.jpg,test/box/X51005230659.txt,test/entities/X51005230659.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,8.00,36,462,,false,1200,5
X51005255805,train,train/img/X51005255805.jpg,train/box/X51005255805.txt,train/entities/X51005255805.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,14.10,51,577,,false,1200,5
X51005268200,train,train/img/X51005268200.jpg,train/box/X51005268200.txt,train/entities/X51005268200.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,15.00,58,780,,false,1200,5
X51005268262,train,train/img/X51005268262.jpg,train/box/X51005268262.txt,train/entities/X51005268262.txt,approved,1,initial_models_weighted_vote,0.3668,v7_initial_real_forged_fake_pdfs,15.90,47,584,,false,1200,5
X51005268275,test,test/img/X51005268275.jpg,test/box/X51005268275.txt,test/entities/X51005268275.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,278.80,89,1083,,false,1200,5
X51005268400,train,train/img/X51005268400.jpg,train/box/X51005268400.txt,train/entities/X51005268400.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,15.00,60,494,,false,1200,5
X51005268408,test,test/img/X51005268408.jpg,test/box/X51005268408.txt,test/entities/X51005268408.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,169.80,38,597,,false,1200,5
X51005268472,train,train/img/X51005268472.jpg,train/box/X51005268472.txt,train/entities/X51005268472.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,32.70,119,1100,,false,1200,5
X51005288570,test,test/img/X51005288570.jpg,test/box/X51005288570.txt,test/entities/X51005288570.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,1.00,34,362,,false,1200,5
X51005301659,train,train/img/X51005301659.jpg,train/box/X51005301659.txt,train/entities/X51005301659.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,15.90,44,503,,false,1200,5
X51005301661,train,train/img/X51005301661.jpg,train/box/X51005301661.txt,train/entities/X51005301661.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,73.00,82,911,,false,1200,5
X51005301666,test,test/img/X51005301666.jpg,test/box/X51005301666.txt,test/entities/X51005301666.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,278.80,89,1088,,false,1200,5
X51005301667,train,train/img/X51005301667.jpg,train/box/X51005301667.txt,train/entities/X51005301667.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,39.80,76,921,,false,1200,5
X51005303661,train,train/img/X51005303661.jpg,train/box/X51005303661.txt,train/entities/X51005303661.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,73.00,75,911,,false,1200,5
X51005306399,train,train/img/X51005306399.jpg,train/box/X51005306399.txt,train/entities/X51005306399.txt,approved,1,initial_models_weighted_vote,0.0000,v7_initial_real_forged_fake_pdfs,86.00,46,515,,false,1200,5
X51005337867,test,test/img/X51005337867.jpg,test/box/X51005337867.txt,test/entities/X51005337867.txt,rejected,0,initial_models_weighted_vote,1.0000,v7_initial_real_forged_fake_pdfs,30.25,61,609,,false,1200,5
